"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"rh1",1,556,0.18705035971223,0.390303099105095,0,0.109865470852018,0,0,1,1,1.60073943526843,0.563389729151882,0.0165525383940363
"rh2",2,451,0.137472283813747,0.344727649033094,0,0.0470914127423823,0,0,1,1,2.09860674851316,2.40950761213435,0.0162325910163459
"rh3",3,511,0.176125244618395,0.381299964220298,0,0.0953545232273839,0,0,1,1,1.69546803005376,0.876338270057472,0.0168677173291204
"rh4",4,567,0.19047619047619,0.393023460732972,0,0.114285714285714,0,0,1,1,1.57231281601503,0.473011152334734,0.0165054339129112
"rh5",5,497,0.162977867203219,0.369717614441761,0,0.0802005012531328,0,0,1,1,1.81946440588921,1.31310492367917,0.0165841015251776
"rh6",6,433,0.150115473441109,0.357597740544352,0,0.0634005763688761,0,0,1,1,1.95234163740555,1.81584750095751,0.0171850507059309
"rh7",7,541,0.186691312384473,0.390024162236251,0,0.108545034642032,0,0,1,1,1.6036419744349,0.572736488562021,0.0167684484509757
"rh8",8,428,0.205607476635514,0.404617788989129,0,0.133720930232558,0,0,1,1,1.45176360683372,0.107886004452202,0.0195579390366385
"rh9",9,522,0.204980842911877,0.404074853407502,0,0.131578947368421,0,0,1,1,1.45742296906634,0.124330895344212,0.0176858758697514
"rh10",10,190,0.194736842105263,0.397044217028392,0,0.118421052631579,0,0,1,1,1.52958535433637,0.341511743126539,0.0288046149697624
"rh11",11,198,0.0707070707070707,0.256984672458661,0,0,0,0,1,1,3.32412652551562,9.09583209756135,0.0182631054201995
"rh12",12,132,0.0984848484848485,0.299104222047335,0,0,0,0,1,1,2.66444497063113,5.13836575634704,0.0260336809302264
"rh13",13,45,0.133333333333333,0.343775825476164,0,0.0540540540540541,0,0,1,1,2.0857692248833,2.40535612535613,0.0512470743190538
"rh14",14,446,0.114349775784753,0.318592979161086,0,0.0195530726256983,0,0,1,1,2.4155305532914,3.84342045901694,0.0150858147942408
"rh15",15,162,0.111111111111111,0.31524416249564,0,0.0153846153846154,0,0,1,1,2.45199363650319,4.03730852766347,0.0247679205589046
"rh16",16,195,0.117948717948718,0.323377627766827,0,0.0254777070063694,0,0,1,1,2.35076277435925,3.54434048697407,0.0231575529175412
"rh17",17,140,0.0928571428571429,0.291274267434451,0,0,0,0,1,1,2.77562928876662,5.74530856376469,0.0246171686415158
"rh18",18,501,0.0998003992015968,0.300033264955472,0,0,0,0,1,1,2.6623767818497,5.09843859686922,0.0134044977168709
"rh19",19,278,0.0755395683453237,0.264736563185325,0,0,0,0,1,1,3.19512794516048,8.23851630801605,0.0158778439232699
"rh20",20,226,0.079646017699115,0.271345386148486,0,0,0,0,1,1,3.08458540510332,7.54812455194974,0.0180496265967886
"rh21",21,125,0.096,0.295776724858029,0,0,0,0,1,1,2.70993601807151,5.38704103834808,0.0264550745177921
"rh22",22,141,0.0567375886524823,0.232165262732947,0,0,0,0,1,1,3.79142599647869,12.4634549252261,0.0195518422015464
"rh23",23,364,0.112637362637363,0.316584162654599,0,0.0171232876712329,0,0,1,1,2.44041553471151,3.96654771262023,0.0165935188628561
"rh24",24,527,0.108159392789374,0.310876702818857,0,0.0118203309692671,0,0,1,1,2.51609125483131,4.33895931709035,0.013542001872558
"rh25",25,426,0.0727699530516432,0.260063935376076,0,0,0,0,1,1,3.27786441359385,8.76498671827451,0.0126001388399918
"rh26",26,449,0.0824053452115813,0.27528800757429,0,0,0,0,1,1,3.02711769792976,7.17944628504659,0.0129916443178172
"rh27",27,289,0.0761245674740484,0.265657331467436,0,0,0,0,1,1,3.1801022256325,8.1412564808036,0.0156269018510256
"rh28",28,123,0.146341463414634,0.35489381531937,0,0.0606060606060606,0,0,1,1,1.97683503509087,1.92371446827128,0.0319996976804748
"rh29",29,177,0.107344632768362,0.310429065032661,0,0.013986013986014,0,0,1,1,2.51546661898619,4.35225691091827,0.0233332773708431
"rh30",30,79,0.0759493670886076,0.266609860875889,0,0,0,0,1,1,3.14079083200731,7.96587963379596,0.0299959528739033
"rh31",31,470,0.157446808510638,0.364609602739472,0,0.0718085106382979,0,0,1,1,1.87501564601398,1.51892900781765,0.0168181868637088
"rh32",32,509,0.147347740667976,0.35480092968386,0,0.0611246943765281,0,0,1,1,1.98398254553755,1.94000972680638,0.0157262747181858
"rh33",33,495,0.171717171717172,0.37751596047457,0,0.0906801007556675,0,0,1,1,1.73565975985803,1.01457668726744,0.0169680805753089
"rh34",34,409,0.163814180929095,0.370560154538695,0,0.0820668693009119,0,0,1,1,1.81003728946852,1.27938097940042,0.0183230203873905
"rh35",35,515,0.104854368932039,0.306663556876407,0,0.00726392251815981,0,0,1,1,2.57205885182419,4.62447760925023,0.0135132108762715
"rh36",36,521,0.130518234165067,0.337196473418846,0,0.0383693045563549,0,0,1,1,2.18728614829514,2.7895860313851,0.0147728457179628
"rh37",37,477,0.159329140461216,0.366366973246804,0,0.0757180156657963,0,0,1,1,1.85582593240841,1.44713689729142,0.0167747913524518
"rh38",38,400,0.1175,0.322418414618664,0,0.021875,0,0,1,1,2.36676152912212,3.61060538356639,0.0161209207309332
"rh39",39,338,0.118343195266272,0.323492955033839,0,0.0257352941176471,0,0,1,1,2.35261780306616,3.54532589084613,0.0175956970900387
"rh40",40,477,0.19706498951782,0.398199442726453,0,0.122715404699739,0,0,1,1,1.51833425246871,0.305993574100709,0.0182323000056531
"rh41",41,403,0.153846153846154,0.361249691289229,0,0.0681114551083591,0,0,1,1,1.91166892004956,1.65861217946386,0.0179951288871163
"rh42",42,515,0.0990291262135922,0.298991542906785,0,0,0,0,1,1,2.67694721847186,5.17610841025624,0.0131751415482
"rh43",43,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"rh44",44,412,0.109223300970874,0.312298407799556,0,0.0121212121212121,0,0,1,1,2.49651104302629,4.24288330778222,0.0153858382364497
"rh45",45,530,0.126415094339623,0.33263054398047,0,0.0330188679245283,0,0,1,1,2.24200714713547,3.03232809481064,0.0144485475400297
"rh46",46,482,0.128630705394191,0.335138585743228,0,0.0362694300518135,0,0,1,1,2.21161534156977,2.89726624896514,0.0152651442832189
"rh47",47,284,0.126760563380282,0.333291856939462,0,0.0350877192982456,0,0,1,1,2.23182898416203,2.99163168025773,0.0197772331320562
"rh48",48,346,0.109826589595376,0.313126309631908,0,0.0143884892086331,0,0,1,1,2.48491250732501,4.1869161178608,0.0168337746947354
"rh49",49,404,0.123762376237624,0.329718585129725,0,0.0308641975308642,0,0,1,1,2.27652525178573,3.19048282211171,0.0164041127253747
"rh50",50,434,0.131336405529954,0.338157707050805,0,0.0402298850574713,0,0,1,1,2.17540000723974,2.73869145552824,0.0162320893736097
"rh51",51,430,0.144186046511628,0.35168745765255,0,0.0552325581395349,0,0,1,1,2.01876109854701,2.0802503769901,0.0169598752100303
"rh52",52,445,0.159550561797753,0.366600864629035,0,0.0756302521008403,0,0,1,1,1.8531564764784,1.43743425390277,0.0173785476660587
"rh53",53,509,0.143418467583497,0.350843897883231,0,0.0562347188264059,0,0,1,1,2.02871408882862,2.11985717488897,0.0155508823672674
"rh54",54,517,0.137330754352031,0.344529553533167,0,0.0481927710843374,0,0,1,1,2.10122907619022,2.41985541860643,0.0151523924391531
"rh55",55,454,0.136563876651982,0.3437651530598,0,0.0467032967032967,0,0,1,1,2.10978687062825,2.45662625474542,0.0161336980405317
"rh56",56,376,0.146276595744681,0.353854159163697,0,0.0596026490066225,0,0,1,1,1.99394378381403,1.9811019022455,0.0182486348919239
"rh57",57,305,0.137704918032787,0.345156302516009,0,0.0489795918367347,0,0,1,1,2.09242726618154,2.38610738129956,0.0197635923898601
"rh58",58,502,0.153386454183267,0.36071907290392,0,0.0671641791044776,0,0,1,1,1.91796390360629,1.68194792608152,0.016099680130738
"rh59",59,162,0.111111111111111,0.31524416249564,0,0.0153846153846154,0,0,1,1,2.45199363650319,4.03730852766347,0.0247679205589046
"rh60",60,436,0.144495412844037,0.351995261824255,0,0.0571428571428571,0,0,1,1,2.01530672784781,2.0662160042759,0.0168575157024286
"rh61",61,242,0.144628099173554,0.352454443828979,0,0.0567010309278351,0,0,1,1,2.00822221477869,2.04144333564351,0.0226566297537095
"rh62",62,286,0.143356643356643,0.351050441831508,0,0.0565217391304348,0,0,1,1,2.02475946217681,2.10705483814692,0.0207580477872415
"rh63",63,469,0.121535181236674,0.327097095642234,0,0.0291777188328912,0,0,1,1,2.30914833889175,3.33929972214589,0.0151039405170297
"rh64",64,105,0.161904761904762,0.37013016223531,0,0.0823529411764706,0,0,1,1,1.80950010355446,1.28681727236349,0.0361210052325892
"rh65",65,228,0.131578947368421,0.338776182914178,0,0.0434782608695652,0,0,1,1,2.16547200967026,2.70117390432488,0.0224360008036407
"rh66",66,145,0.110344827586207,0.314405112414928,0,0.0170940170940171,0,0,1,1,2.46158780555688,4.08774825097476,0.0261099234289668
"rh67",67,117,0.162393162393162,0.370397385791423,0,0.0842105263157895,0,0,1,1,1.80736323700066,1.27770092084725,0.034243250429969
"rh68",68,294,0.153061224489796,0.360660395876016,0,0.0677966101694915,0,0,1,1,1.91736445476972,1.68204235331812,0.0210341414363433
"rh69",69,390,0.141025641025641,0.348495074314641,0,0.0512820512820513,0,0,1,1,2.05485780597745,2.2281735753722,0.0176467340496593
"rh70",70,425,0.145882352941176,0.353404246717869,0,0.0586510263929619,0,0,1,1,1.99932192296365,2.00201537201767,0.0171426239736425
"rh71",71,531,0.145009416195857,0.352442354320129,0,0.0564705882352941,0,0,1,1,2.01066669364839,2.04664550902973,0.0152946954308184
"rh72",72,464,0.157327586206897,0.364502341899632,0,0.0725806451612903,0,0,1,1,1.87616844313215,1.52330493607507,0.0169215964113449
"rh73",73,490,0.138775510204082,0.346065425526195,0,0.048469387755102,0,0,1,1,2.08334765838845,2.34513594372849,0.0156336423442593
"rh74",74,507,0.145956607495069,0.353411412622552,0,0.058968058968059,0,0,1,1,1.99962462696949,2.00245993715884,0.0156955518624859
"rh75",75,371,0.137466307277628,0.344803972232249,0,0.0471380471380471,0,0,1,1,2.09717139055514,2.40463110306422,0.017901330287355
"rh76",76,468,0.170940170940171,0.376859518992445,0,0.0904255319148936,0,0,1,1,1.74259475066384,1.03886996002133,0.0174203374278712
"rh77",77,261,0.187739463601533,0.391254227224767,0,0.110047846889952,0,0,1,1,1.59008702900055,0.53045313030698,0.0242180286792347
"rh78",78,434,0.175115207373272,0.380504236500107,0,0.0948275862068965,0,0,1,1,1.70371932326775,0.904760148332225,0.0182647878345677
"rh79",79,321,0.146417445482866,0.354076174988807,0,0.0583657587548638,0,0,1,1,1.99098994019113,1.97020774516559,0.0197626049286539
"rh80",80,307,0.133550488599349,0.340724094232098,0,0.0445344129554656,0,0,1,1,2.14399786200563,2.60524476760845,0.0194461511888485
"rh81",81,380,0.2,0.400527356853924,0,0.125,0,0,1,1,1.49408284450799,0.232917243767313,0.0205466198775006
"rh82",82,211,0.146919431279621,0.354867497943694,0,0.0591715976331361,0,0,1,1,1.98049809087824,1.93159444147778,0.0244300860564234
"rh83",83,159,0.157232704402516,0.365170173525321,0,0.0775193798449612,0,0,1,1,1.86549478099237,1.48955748137207,0.0289598785171226
"rh84",84,260,0.126923076923077,0.333528801217318,0,0.0336538461538462,0,0,1,1,2.22854524393633,2.97791173273806,0.0206845781684235
